ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsi_Total10	Turbo_Pmin_JC_c01	majiq_Postmax_p01	leafcutter_p_value	jum_p_value	Type	IsoMajorPsiGroup1	IsoMajorPsiGroup2	TurboMajorPsiGroup1	TurboMajorPsiGroup2	FluxPsiG1	FluxPsiG2	majiqPsiG1	majiqPsiG2	RegP	TotalCountG1	TotalCountG2
ASM1712	11	15	20962	24601	0.809938596	NA	0.00128	0.0784	0.0141	0.0172	NA	0.614672366	0.591368482	0.908266667	0.863733333	NA	NA	0.999	1	0.99999904	256.3333333	223
ASM1713	11	10	10121	6865	0.299375685	0.032699791	1	0.312	0.116	0.0683	NA	0.536035549	0.501769215	0.774333333	0.772	0.566155751	0.541640803	0.901	0.917	0.004950393	179.6666667	272.3333333
ASM1714	13	22	15134	19164	0.656529866	NA	0.036	0.0552	0.0997	0.0362	NA	0.811990568	0.84092852	0.814111111	0.796444444	NA	NA	0.999	0.999	0.993838605	257.3333333	218.3333333
ASM1715	2	4	654	621	0.765801402	0.017673118	0.238	0.00527	NA	0.062	ASS	0.939547779	0.918377944	0.967666667	0.928333333	0.915572251	0.933245368	0.917	0.888	0.592440255	45	52
ASM1716	2	5	37	84	0.273486707	NA	NA	NA	NA	NA	NA	0.977733252	0.689218862	NA	NA	NA	NA	NA	NA	NA	6.666666667	4.666666667
ASM1717	10	18	4868	4848	0.024991953	0.0285108	1	0.00587	0.61	0.0197	NA	0.557918896	0.479311256	1	0.992	0.607478104	0.578967305	0.998	0.998	0.359033045	170.6666667	181
ASM1718	4	34	45798	57124	0.185735197	NA	NA	7.03E-14	NA	NA	NA	0.983629472	0.987528842	NA	NA	NA	NA	0.999	0.999	0.167377696	174	149.3333333
ASM1719	2	4	160	400	0.365731101	NA	0.000203	NA	NA	0.487	ASS	0.922863093	0.73192955	0.932333333	0.733	NA	NA	NA	NA	0.353061477	30	14.33333333
ASM1720	2	3	312	552	0.299556868	NA	1	NA	NA	NA	SE	0.921200133	0.997001073	0.966666667	1	NA	NA	NA	NA	0.234783665	23	12
ASM1721	2	10	8693	2808	NA	0.008791939	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.737054962	0.728263022	NA	NA	0.863691018	34.33333333	112.6666667
ASM1722	15	21	26411	10514	1	NA	0.0509	0.202	0.0195	0.0149	NA	0.325260786	0.32019796	0.815380952	0.801428571	NA	NA	0.997	0.999	NA	4	6.333333333
ASM1723	2	5	266	889	0.94950658	0.114512853	0.0933	0.0104	NA	NA	NA	0.852736402	0.856822591	0.904666667	0.933333333	0.711155316	0.825668168	0.734	0.72	0.028409195	76.33333333	22.33333333
ASM1724	3	5	6156	4273	0.589059196	0.021830773	1	6.36E-05	0.185	0.0218	NA	0.808515253	0.763513779	0.936333333	0.938666667	0.910508458	0.888677685	0.951	0.944	0.025160272	516.3333333	818
ASM1725	12	31	788	663	0.214144197	0.000649351	0.00511	NA	NA	NA	NA	0.458298446	0.389491106	0.748833333	0.873416667	0.86969697	0.869047619	NA	NA	0.989763459	7.666666667	12.66666667
ASM1726	2	4	385	887	0.993738891	0.008764013	NA	NA	NA	NA	NA	0.940265899	0.940013782	NA	NA	0.947734069	0.956498083	NA	NA	0.680773081	92	44.33333333
ASM1727	13	27	0	2708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.333333333	0
ASM1728	15	18	534	909	0.074865822	0.008518062	0.415	0.269	NA	0.14	NA	0.48970306	0.513873695	0.954416667	0.932583333	0.976190476	0.967672414	0.974	0.985	0.845851155	29.66666667	12.33333333
ASM1729	15	23	4482	3577	0	0.046694011	0.0076	0.0349	0.384	0.0502	NA	0.707212556	0.741657579	0.831375	0.873791667	0.623213016	0.644903142	0.822	0.838	0.999993382	85.33333333	99.33333333
ASM1730	6	24	1720	477	NA	NA	0.213	NA	NA	NA	NA	NA	NA	0.783333333	0.611	NA	NA	NA	NA	NA	0	0
ASM1731	7	23	3282	3409	0.004386732	NA	0.145	0.988	0.0207	0.0676	NA	0.306621245	0.321576504	0.918	0.97	NA	NA	0.996	0.996	0.171348379	54.66666667	58.66666667
ASM1732	2	3	87	121	0.435174726	NA	NA	NA	NA	NA	NA	0.946318101	0.904446734	NA	NA	NA	NA	NA	NA	NA	8	6.666666667
ASM1733	3	7	143	283	0.247274145	NA	1	NA	NA	NA	NA	0.94331128	0.632069513	1	0.809666667	NA	NA	NA	NA	NA	8	6.666666667
ASM1734	2	3	581	1254	0.697367309	0.004797308	0.913	0.00103	NA	NA	SE	0.961715756	0.949410925	0.971333333	0.961	0.943982464	0.948779772	0.973	0.964	0.840885635	98.33333333	54.33333333
ASM1735	2	4	234	203	0.344011119	NA	NA	NA	NA	NA	NA	0.448995401	0.683320732	NA	NA	NA	NA	NA	NA	0.334238638	11.33333333	14.33333333
ASM1736	3	10	32231	27919	1	0.011452561	NA	0.367	0.112	0.0583	NA	0.560212845	0.56914341	NA	NA	0.57334634	0.5847989	0.853	0.905	0.602924812	282.6666667	351.3333333
ASM1737	7	7	1977	2493	NA	0.052503913	NA	0.055	0.0648	0.0503	NA	NA	NA	NA	NA	0.893007266	0.945511179	0.999	0.999	0.093103459	60.33333333	54
ASM1738	12	23	146838	59713	1	0.004102153	1	3.84E-13	0.475	0.0369	NA	0.519520768	0.51308312	0.984	0.986777778	0.513625962	0.50952381	1	1	0.901299821	10	32.66666667
ASM1739	8	16	14374	13068	1	0.017757051	1	0.166	NA	0.0356	NA	0.412769065	0.446479188	1	0.996666667	0.972983689	0.990740741	0.998	0.998	0.08438309	107	129
ASM1740	4	5	2847	6	0.001043188	0.339486321	NA	NA	NA	0.127	NA	0.678157012	0.37627628	NA	NA	0.672819654	0.333333333	NA	NA	0.605726942	0.666666667	224.6666667
ASM1741	3	5	0	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.33333333	0
ASM1742	11	21	2685	400	NA	0.74322827	5.92E-07	NA	NA	0.176	NA	NA	NA	0.764666667	0.852333333	0.74322827	0	NA	NA	0.96963241	10.66666667	47
ASM1743	10	24	2317	3047	0.071574434	NA	0.00261	0.993	0.257	0.115	NA	0.437924523	0.412624643	0.688166667	0.749333333	NA	NA	0.999	0.999	0.014907379	59.33333333	30.66666667
ASM1744	3	5	626	138	0.0078171	0.399770523	0.712	NA	NA	0.305	NA	0.605473365	0.245298369	0.702333333	0.753666667	0.644760468	0.244989945	NA	NA	4.52E-08	21.33333333	111
ASM1745	3	5	640	481	NA	0.103590504	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.580415783	0.655593003	NA	NA	0.018118585	63.66666667	74.66666667
ASM1746	2	7	958	828	0.301261589	0.103590504	6.92E-08	0.296	NA	0.0668	NA	0.517964171	0.581985167	0.645	1	0.670843776	0.77443428	0.718	0.784	0.018118585	63.66666667	74.66666667
ASM1747	2	4	1122	894	0.178450417	0.103590504	NA	9.30E-07	NA	NA	NA	0.601006251	0.708893415	NA	NA	0.670843776	0.77443428	0.996	0.995	0.018118585	63.66666667	74.66666667
ASM1748	3	7	943	634	0.087432688	0.021071262	NA	NA	NA	1	NA	0.621125946	0.583622091	NA	NA	0.521761393	0.500690131	NA	NA	0.794372221	22	32
ASM1749	2	4	906	828	0.383239083	0.058222481	NA	0.155	NA	NA	NA	0.929943053	0.880987928	NA	NA	0.787192335	0.728969854	0.823	0.715	0.144040985	65.33333333	86.66666667
ASM1750	17	32	12369	9922	0.999967261	0.133032883	0.00185	0.858	0.0483	0.0299	NA	0.442990978	0.409759719	0.977	0.938333333	0.401808786	0.517111342	0.995	0.998	0.044471239	38.66666667	42.66666667
ASM1751	2	4	3	16	1	NA	NA	NA	NA	NA	NA	0.537812443	0.784012128	NA	NA	NA	NA	NA	NA	NA	1.666666667	0.666666667
ASM1752	12	21	54206	52274	0.15291432	0.00560012	0.315	0.0305	0.279	0.0139	NA	0.434991504	0.431264561	0.738333333	0.736333333	0.97911226	0.98471238	1	0.998	0.313547204	371.6666667	382.3333333
ASM1753	9	24	18958	35119	NA	0.01538161	0.603	0.0439	0.297	0.0223	NA	NA	NA	0.662	0.696333333	0.976523817	0.991905427	0.991	0.999	0.090726592	162	99
ASM1754	2	5	179	337	0.119819034	NA	NA	NA	NA	NA	NA	0.778636773	0.678274878	NA	NA	NA	NA	NA	NA	NA	8	4.333333333
ASM1755	2	4	649	628	0.450787787	0.055490996	0.226	0.0267	0.361	0.127	ASS	0.711508639	0.807952905	0.715	0.798	0.783150912	0.838641908	0.72	0.78	0.160484906	62	72.33333333
ASM1756	7	11	1949	2870	0.749647995	0.033532447	0.941	0.00877	0.465	0.101	NA	0.400962243	0.349618125	0.741	0.752555556	0.62001576	0.586483313	0.997	0.998	0.329332682	129.6666667	94.33333333
ASM1757	3	6	45	37	0.259667488	NA	NA	NA	NA	NA	NA	0.721962103	0.780096953	NA	NA	NA	NA	NA	NA	NA	2	1.333333333
ASM1758	2	5	194	59	0.318990219	NA	NA	NA	NA	NA	NA	0.577776269	0.710547866	NA	NA	NA	NA	NA	NA	NA	2.333333333	10.33333333
ASM1759	5	9	6300	6110	1.53E-05	0.096059727	0.506	0.879	0.737	0.0583	NA	0.526182881	0.321177299	0.653166667	0.689833333	0.842849621	0.746789893	0.686	0.541	0.004351322	83	116
ASM1760	3	4	4053	3809	0.884103465	0.006373509	1	1.86E-08	NA	NA	NA	0.993012239	0.996026743	0.980666667	0.983333333	0.984120068	0.977746559	0.977	0.989	0.473223167	149.3333333	167.3333333
ASM1761	2	6	517	624	0.176040639	NA	NA	1.57E-06	NA	NA	NA	0.475273901	0.633777427	NA	NA	NA	NA	0.993	0.995	0.531488825	54.66666667	51
ASM1762	5	5	362	355	0.093728296	0.033610784	0.00363	0.609	NA	0.228	NA	0.902781551	0.910544289	0.701	1	0.854730759	0.888341544	0.757	0.929	0.350377343	54.33333333	50.33333333
ASM1763	4	6	743	1454	0.066344051	NA	0.184	0.377	0.224	0.103	NA	0.840112507	0.698865333	0.944333333	0.885333333	NA	NA	0.532	0.645	NA	13	6.333333333
ASM1764	2	3	225	318	0.946195226	0.071076084	0.717	0.118	NA	0.074	SE	0.506937866	0.527114653	0.510666667	0.545	0.60317189	0.532095806	0.571	0.593	0.346032601	32	26
ASM1765	2	4	429	604	0.884788088	NA	0.0244	0.176	NA	NA	ASS	0.844612922	0.829621358	0.944333333	0.849	NA	NA	0.895	0.745	0.94955594	32	26
ASM1766	12	38	2784	4882	5.23E-10	NA	1	1	NA	0.0523	NA	0.510074692	0.76541334	0.913333333	1	NA	NA	0.884	0.895	0.462331769	48	8.666666667
ASM1767	8	13	5193	5886	0.001925801	0.156726348	1	0.453	0.108	0.0365	NA	0.619874558	0.474481257	0.999	0.994666667	0.932432432	0.775706084	0.987	0.923	5.11E-05	82.66666667	66.33333333
ASM1768	2	3	0	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.333333333	0.333333333
ASM1769	2	14	48	683	0.795637558	NA	NA	NA	NA	NA	NA	0.938769045	0.894390517	NA	NA	NA	NA	NA	NA	NA	17	1
ASM1770	3	5	864	748	0.075716142	0.106381395	9.97E-05	0.759	0.00332	0.0436	NA	0.941624046	0.87099351	0.877	0.687666667	0.837898846	0.735775336	0.952	0.958	0.002507962	75.33333333	90.33333333
ASM1771	2	3	884	840	0.445351136	0.149014575	0.139	0.471	0.342	0.0868	NA	0.695127353	0.57689017	0.717	0.591666667	0.73460676	0.585592186	0.726	0.582	0.000441142	75.33333333	90.33333333
ASM1772	3	4	824	458	0.418492772	NA	0.672	NA	NA	NA	NA	0.737172186	0.730000314	0.880666667	1	NA	NA	NA	NA	NA	4	8.666666667
ASM1773	7	13	4928	9806	0.987158494	0.015713104	NA	7.27E-12	NA	0.0418	NA	0.521964439	0.558679989	NA	NA	0.956445406	0.972158511	0.999	0.999	0.294721153	98.66666667	50.66666667
ASM1774	9	11	7048	9093	0.65325001	0.046783261	0.326	0.00632	0.687	0.0219	NA	0.375188886	0.412770173	0.816666667	0.80675	0.359925839	0.4067091	0.999	0.999	0.046293086	317.3333333	264
ASM1775	2	4	2617	4817	0.351597205	0.067593473	NA	NA	NA	0.0535	NA	0.835197429	0.892615092	NA	NA	0.865566159	0.933159632	NA	NA	0.000458915	198	130.6666667
ASM1776	2	3	1191	1723	0.489261964	0.01479945	0.181	0.109	0.0823	0.0583	SE	0.888564559	0.852548978	0.885	0.842	0.858973743	0.873773193	0.928	0.852	0.477123015	197.3333333	128.6666667
ASM1777	2	3	15	106	0.390831142	NA	NA	NA	NA	NA	NA	0.270150621	0.873424517	NA	NA	NA	NA	NA	NA	NA	10.33333333	3
ASM1778	9	26	16747	23494	0.37400537	0.095571631	1	2.51E-07	NA	0.109	NA	0.404862503	0.374622126	0.961666667	0.9655	0.447315258	0.494708995	0.998	0.999	0.475046649	8	15
ASM1779	2	16	5291	5520	0.598840951	0.000570912	NA	NA	NA	NA	NA	0.487932484	0.520669683	NA	NA	0.628174373	0.628745285	NA	NA	0.996160479	131.6666667	139.6666667
ASM1780	3	5	1783	1915	0.083037526	0.017431134	NA	0.0201	0.888	0.0298	NA	0.37107205	0.391090472	NA	NA	0.371825627	0.371254715	0.521	0.568	0.60300947	131.6666667	139.6666667
ASM1781	7	20	18654	27601	0.051918137	NA	NA	1.29E-11	NA	NA	NA	0.359309062	0.370859372	NA	NA	NA	NA	0.999	0.999	NA	2.666666667	1.666666667
ASM1782	2	6	924	2075	0.762688902	0.000448156	NA	5.05E-05	NA	NA	NA	0.986845314	0.991467734	NA	NA	0.985765616	0.98531746	0.978	0.988	0.969576199	93	45
ASM1783	16	28	1928	1510	6.33E-13	NA	0.159	0.0583	NA	0.0541	NA	0.677843974	0.448287985	0.935111111	0.926444444	NA	NA	0.997	0.996	0.052411287	19.66666667	38.33333333
ASM1784	6	6	31	169	0.137541618	NA	NA	NA	NA	NA	NA	0.810077639	0.061627605	NA	NA	NA	NA	NA	NA	NA	12.66666667	2.333333333
ASM1785	5	24	22655	24860	1	0.061871778	NA	0.108	NA	0.0322	NA	0.602731863	0.611447193	NA	NA	0.451996468	0.390124691	0.992	0.978	0.042550414	188	163
ASM1786	3	4	1649	1998	0.417335266	0.072504128	0.269	0.058	0.675	0.0444	NA	0.540315959	0.475730275	0.620333333	0.561	0.5584291	0.485924973	0.728	0.756	0.019015272	188	163
ASM1787	5	5	2877	4918	0.78448428	0.010216237	0.102	0.00941	0.308	0.0265	NA	0.657702007	0.61661965	0.835833333	0.804166667	0.616982925	0.606766688	0.989	0.981	0.724563161	247	166.3333333
ASM1788	2	3	580	670	0.501066175	0.028113799	NA	1.63E-06	NA	NA	NA	0.990384171	0.997904204	NA	NA	0.971886201	1	0.98	0.996	0.990562976	92.66666667	91
ASM1789	4	18	12621	16589	0.020062982	0.048610486	0.161	0.042	0.19	0.0391	NA	0.425390772	0.277752039	0.768666667	0.712833333	0.393864884	0.428498294	0.837	0.832	0.145782786	152.6666667	132
ASM1790	2	3	1155	1503	0.858465083	0.00359817	NA	0.00604	0.794	0.0282	NA	0.630809194	0.634149653	NA	NA	0.665253801	0.66885197	0.58	0.577	0.945220785	98	78.33333333
ASM1791	12	49	25881	28665	0.146549182	0.080791096	0.00442	0.0906	0.446	0.0526	NA	0.642959365	0.71121421	0.935888889	0.971444444	0.883565252	0.802774156	0.999	0.998	0.004300745	120	111
ASM1792	10	9	10790	13935	1	0.059955921	1	0.00101	0.369	0.0162	NA	0.739241213	0.729602697	0.975666667	0.9825	0.501405982	0.561361903	0.982	0.995	0.001332793	601.6666667	490.3333333
ASM1793	5	8	4914	5683	0.986814951	0.049584838	1	0.0102	0.634	0.025	NA	0.735815225	0.705079105	0.958666667	0.957333333	0.617902913	0.637895198	0.986	0.966	0.141043854	137	128.3333333
ASM1794	15	24	7027	19136	0.874253077	0	1	0.0496	0.0433	0.0229	NA	0.486159873	0.51478757	0.754166667	0.7555	1	1	0.999	1	0.999990366	175.6666667	43.33333333
ASM1795	2	3	229	170	0.47980726	NA	NA	NA	NA	NA	NA	0.916500301	0.9016499	NA	NA	NA	NA	NA	NA	NA	4.333333333	5.333333333
ASM1796	17	32	3894	6271	0.192302957	0.021366484	0.0176	0.859	NA	0.0999	NA	0.294949088	0.361267602	0.720666667	0.895333333	0.514316093	0.528055556	0.994	0.993	0.872098755	21.66666667	20.66666667
ASM1797	2	3	3093	3115	0.810228291	0.024051246	NA	0.0191	0.349	0.0169	ASS	0.772492475	0.770991489	NA	NA	0.708173228	0.732224474	0.653	0.684	0.168934851	422	458
ASM1798	5	7	10769	11451	0.095878232	0.017879299	0.122	0.0566	0.255	0.0354	NA	0.445871254	0.398794075	0.899	0.892	0.602654697	0.613486511	0.997	0.994	0.00058267	409	411
ASM1799	6	12	6026	8772	0.378123073	0.068183502	NA	0.000846	0.816	0.0224	NA	0.62018177	0.678274605	NA	NA	0.898245614	0.830062112	0.979	0.966	0.261470742	23	19.33333333
ASM1800	2	4	36	41	0.007787638	NA	NA	NA	NA	NA	NA	0.918303877	0.133055169	NA	NA	NA	NA	NA	NA	NA	3.666666667	1.666666667
ASM1801	5	22	1237	1193	0.202683044	NA	0.179	0.000211	NA	NA	NA	0.622226638	0.496610825	0.877555556	0.819888889	NA	NA	0.985	0.988	0.747887515	22	21.66666667
ASM1802	2	3	110	141	0.79117727	NA	NA	NA	NA	NA	NA	0.971136985	0.933804624	NA	NA	NA	NA	NA	NA	NA	7.333333333	8.333333333
ASM1803	2	4	95	91	0.452694151	NA	NA	NA	NA	NA	NA	0.754436335	0.805361687	NA	NA	NA	NA	NA	NA	NA	7.333333333	8.333333333
ASM1804	2	3	2801	5603	0.354751082	0.047411711	NA	0.0563	0.0236	0.0602	NA	0.92469134	0.95477051	NA	NA	0.845685721	0.893097432	0.817	0.891	0.041963518	192.6666667	113
ASM1805	3	4	1546	2928	0.001281706	0.085352953	NA	0.839	0.0375	0.0606	NA	0.490457015	0.700228434	NA	NA	0.774810633	0.860163586	0.655	0.832	0.001210989	192.6666667	113
ASM1806	6	23	2262	2973	NA	NA	NA	0.000381	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.983	0.985	NA	0	0
ASM1807	2	3	135	82	0.151325112	NA	NA	NA	NA	NA	NA	0.757989753	0.647348897	NA	NA	NA	NA	NA	NA	0.198716642	8.333333333	15.33333333
ASM1808	2	4	116	53	0.711576883	NA	NA	NA	NA	NA	NA	0.79309567	0.871682829	NA	NA	NA	NA	NA	NA	NA	5.333333333	12
ASM1809	6	21	52073	9463	NA	0.042459879	0.627	0.00137	0.351	0.0303	NA	NA	NA	0.91	0.887	0.892171765	0.849711886	0.836	0.854	0.009575505	134.6666667	773
ASM1810	3	10	153	58	0.828467472	NA	NA	NA	NA	NA	NA	0.997800593	0.979492941	NA	NA	NA	NA	NA	NA	NA	1	3
ASM1811	3	4	82	76	0.049934786	NA	0.61	NA	NA	NA	NA	0.484290082	0.610439013	0.6785	0.833666667	NA	NA	NA	NA	0.197931523	8.666666667	13
ASM1812	2	5	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1
ASM1813	7	35	21411	24972	0.317910685	NA	0.833	0.00683	0.831	0.0314	NA	0.452195244	0.418844504	0.640666667	0.624	NA	NA	0.998	0.998	NA	1	1
ASM1814	20	46	13767	14865	0.141419911	0.099134199	0.00151	0.0286	0.138	0.0642	NA	0.30887132	0.317226182	0.861037037	0.823666667	0.608994709	0.50986051	0.998	0.998	0.383711887	11.33333333	11
ASM1815	11	22	23620	31077	0.193807731	NA	0.0822	1.05E-05	NA	0.0514	NA	0.718180882	0.755428226	0.977666667	0.994166667	NA	NA	0.999	0.999	NA	10	7.666666667
ASM1816	5	21	20280	43196	1	NA	NA	0.00466	0.573	0.0267	NA	0.351433123	0.342830339	NA	NA	NA	NA	0.808	0.838	NA	0	0
ASM1817	12	28	10748	22829	0.848919581	NA	0.815	0.0031	0.751	0.0413	NA	0.407430087	0.378491615	0.687666667	0.667333333	NA	NA	0.999	0.999	NA	0.333333333	0
ASM1818	12	19	210	351	0.094135298	NA	0.00079	NA	NA	1	NA	0.596284517	0.387420399	0.904666667	0.571333333	NA	NA	NA	NA	NA	8.666666667	6
ASM1819	5	16	2120	3399	NA	0.009524216	0.159	0.142	0.156	0.0404	NA	NA	NA	0.845166667	0.772166667	0.66187384	0.652349624	0.995	0.959	0.820840276	75.33333333	47.33333333
ASM1820	2	6	78	105	0.889283641	NA	NA	NA	NA	NA	NA	0.472716313	0.561325464	NA	NA	NA	NA	NA	NA	NA	4.666666667	5.333333333
ASM1821	2	11	232	177	0.985449611	NA	NA	NA	NA	NA	NA	0.962733401	0.953859752	NA	NA	NA	NA	NA	NA	NA	6.333333333	7
ASM1822	3	4	506	587	0.073250445	0.038946609	0.107	0.0456	NA	0.0881	NA	0.408152413	0.583950283	0.790833333	0.772666667	0.515324675	0.537545788	0.99	0.991	0.342661041	26.66666667	22.66666667
ASM1823	7	17	1199	1695	NA	0.104792619	NA	7.25E-05	NA	NA	NA	NA	NA	NA	NA	0.771349329	0.837301587	0.988	0.989	0.079804867	20.66666667	17.33333333
ASM1824	17	27	5303	8445	1	NA	0.39	0.318	0.134	0.0356	NA	0.346491001	0.371887434	0.77	0.741733333	NA	NA	0.997	0.998	NA	2	2.666666667
ASM1825	13	25	5783	4239	0.429386199	0.054208042	0.222	0.137	0.953	0.0699	NA	0.656601441	0.660297148	0.7855	0.8175	0.64422043	0.5910032	0.992	0.987	0.478451192	22	32.66666667
ASM1826	4	16	5911	7090	0.465164885	0.006402749	NA	1.70E-05	NA	NA	NA	0.863942064	0.883270846	NA	NA	0.983791209	0.990193958	0.98	0.982	0.568538584	66.33333333	59.33333333
ASM1827	5	31	0	2717	NA	NA	NA	NA	NA	0.784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.66666667	0
ASM1828	4	5	0	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.33333333	0
ASM1829	3	7	0	921	NA	NA	NA	NA	NA	0.234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.33333333	0
ASM1830	4	11	18660	29112	0.63563761	NA	1	1.60E-18	NA	NA	NA	0.953740639	0.948133949	0.996	0.996333333	NA	NA	0.996	0.998	0.62901605	741.6666667	516.6666667
ASM1831	8	12	4873	7935	NA	0.024815265	NA	0.0394	NA	NA	NA	NA	NA	NA	NA	0.771820836	0.754405934	0.999	0.999	0.240313002	343	231.6666667
ASM1832	2	5	1950	1945	0.615728264	NA	NA	0.00585	NA	NA	NA	0.947323047	0.984818225	NA	NA	NA	NA	0.943	0.944	0.664475634	14.33333333	17
ASM1833	2	3	944	1472	0.482410281	0.023288464	0.707	0.00989	0.987	0.0521	SE	0.553732752	0.488692272	0.565333333	0.530666667	0.540566231	0.517277767	0.517	0.514	0.591785215	120	86.66666667
ASM1834	7	15	3142	4529	0.056545017	0.079243881	1	0.0107	0.554	0.0785	NA	0.645387955	0.529166041	0.984666667	0.987333333	0.945904422	0.866660541	0.99	0.995	0.00500793	97.33333333	68
ASM1835	7	19	5301	3825	0.451818783	0.01755395	1	3.24E-07	NA	0.0511	NA	0.425679129	0.340631368	0.987666667	0.994333333	0.857734398	0.844992406	0.997	0.997	0.651070964	40.66666667	47
ASM1836	5	33	19490	14349	0.948212531	NA	0.0246	0.000311	NA	NA	NA	0.472481806	0.461243119	0.955166667	0.962333333	NA	NA	0.977	0.99	NA	4.666666667	8.333333333
ASM1837	18	43	35138	54701	0.752877046	0.008841617	1	0.0381	0.0502	0.0223	NA	0.403960833	0.384271903	0.964333333	0.968666667	0.753653144	0.760145287	0.999	0.999	0.560924983	354	224.3333333
ASM1838	7	7	1659	2086	0.011788339	0.024647155	0.0167	0.688	0.0308	0.0311	NA	0.328630379	0.382292371	0.714666667	0.739333333	0.68376689	0.707555143	0.881	0.908	0.233335595	51	48
ASM1839	2	4	78	56	0.370530892	NA	NA	NA	NA	NA	NA	0.983928049	0.920674421	NA	NA	NA	NA	NA	NA	NA	2	7
ASM1840	2	5	246	126	0.62798381	NA	NA	NA	NA	NA	NA	0.925993152	0.949558666	NA	NA	NA	NA	NA	NA	NA	6	10.66666667
ASM1841	2	3	94	72	0.288203325	NA	NA	NA	NA	NA	ASS	0.689315965	0.779839387	NA	NA	NA	NA	NA	NA	NA	6	10.66666667
ASM1842	2	4	181	173	0.608842845	NA	NA	NA	NA	NA	NA	0.595357785	0.478966722	NA	NA	NA	NA	NA	NA	NA	2	2.333333333
ASM1843	4	13	8130	4318	0.874286104	NA	NA	3.10E-08	NA	NA	NA	0.81500616	0.83527845	NA	NA	NA	NA	0.998	0.996	0.989436546	70	144.3333333
ASM1844	15	38	9911	17329	0.5731186	NA	0.31	0.00917	0.979	0.089	NA	0.41676613	0.405875615	0.891	0.914904762	NA	NA	0.997	0.998	NA	5	4.333333333
ASM1845	6	34	9434	25142	0.112440991	NA	NA	0.00682	NA	NA	NA	0.76493899	0.68354128	NA	NA	NA	NA	0.996	0.998	0.319588398	106.3333333	43.66666667
ASM1846	2	3	591	842	0.371223837	NA	1	0.00159	NA	NA	SE	0.999158979	0.965141343	1	0.966	NA	NA	0.991	0.956	0.306223075	36.66666667	28.33333333
ASM1847	2	6	500	744	0.005135074	NA	NA	0.906	NA	0.0647	NA	0.968820225	0.793980009	NA	NA	NA	NA	0.98	0.786	0.250234664	36.66666667	28.33333333
ASM1848	3	4	438	547	0.346852703	0.173917225	NA	NA	NA	NA	NA	0.944961967	0.836453427	NA	NA	0.946666667	0.772749441	NA	NA	0.001453545	36.66666667	28.33333333
ASM1849	3	4	183	169	0.023996174	NA	NA	NA	NA	NA	NA	0.624124407	0.880013785	NA	NA	NA	NA	NA	NA	0.173778677	10.66666667	16.33333333
ASM1850	2	3	145	102	0.78847808	0.139393939	NA	NA	NA	NA	NA	0.701478933	0.804203566	NA	NA	0.772222222	0.911616162	NA	NA	0.139545675	10.66666667	16.33333333
ASM1851	12	18	13878	16902	0.753821974	0.046739975	0.274	0.488	0.0051	0.0211	NA	0.374316951	0.331291125	0.758333333	0.74	0.419595905	0.421567415	0.998	0.999	0.150384154	140.6666667	125.6666667
ASM1852	2	3	583	467	0.277157581	0.098268795	0.215	0.568	0.326	0.129	SE	0.527568952	0.585982492	0.522	0.579333333	0.469627595	0.567896389	0.54	0.674	0.060998658	51	69
ASM1853	3	34	6579	2003	0.001314548	0.200788342	NA	NA	0.0259	NA	NA	0.679589034	0.847203269	NA	NA	0.573021182	0.773809524	NA	NA	0.022677857	13.33333333	50
ASM1854	2	3	1500	1023	1	0.026687534	1	0.00127	0.911	0.0644	SE	0.867507859	0.87213208	0.851333333	0.858	0.869270172	0.842582638	0.994	0.993	0.182685191	152.3333333	261
ASM1855	2	4	2221	1457	0.614542414	0.004296108	0.186	0.0279	0.0344	0.0287	ASS	0.629355192	0.670494838	0.598	0.668	0.64202	0.646316108	0.642	0.698	0.859820243	152.6666667	263
ASM1856	2	3	398	524	0.845204332	NA	1	NA	NA	0.127	SE	0.547793452	0.609175647	0.575333333	0.618666667	NA	NA	NA	NA	0.913138729	27.66666667	20
ASM1857	6	17	21654	35420	0.090363	0.001517574	NA	8.14E-40	NA	NA	NA	0.696473974	0.744900936	NA	NA	0.997380598	0.997892582	0.999	1	0.184368512	790.6666667	512.6666667
ASM1858	14	38	14415	4106	0.151731431	NA	0.281	0.0446	0.195	0.049	NA	0.418580635	0.450668764	0.9884	0.979933333	NA	NA	0.999	0.996	NA	0	0
